ID,Item Details,Parent Group,PRICE,Qty.
1578,24353 28,LADIES (CARGO) STRAIT,475,0
1579,24354 28 34,LADIES (CARGO) STRAIT,455,31
1580,24355 28 34,LADIES (STRAIT) PANT,560,26
1581,24356 28 34,LADIES(BLACK)PANT,670,5
1582,24357 28 34,LADIES (STRAIT) PANT,555,0
1583,24358 28 34,LADIES (STRAIT) PANT,460,3
1584,24359 28 34,LADIES (STRAIT) PANT,560,0
1585,24360 28 34,LADIES (STRAIT) PANT,685,0
1586,24361 28 34,LADIES (STRAIT) PANT,605,0
1587,24362 28 34,LADIES (STRAIT) PANT,595,0
1588,24363 28 32,LADIES (STRAIT) R.F.D,525,28
1589,24364 28 34,LADIES (STRAIT) PANT,625,0
1590,24365 28 34,LADIES (STRAIT) PANT,425,0
1591,24366 28 34,LADIES (STRAIT) PANT,435,0
1592,24367 28 32,LADIES (STRAIT) PANT,570,0
1593,24368 28 32,LADIES (STRAIT) R.F.D,575,0
1594,24369 28 34,LADIES (STRAIT) PANT,610,-4
1595,24370 28,LADIES (STRAIT) PANT,570,0
1596,24371 28 34,LADIES (STRAIT) PANT,565,1
1597,24372 34 38,LADIES (STRAIT) PANT,505,0
1598,24373 28 34,LADIES (STRAIT) PANT,575,0
1599,24374 28 34,LADIES(BLACK)PANT,525,5
1600,24375 28 34,LADIES (STRAIT) PANT,470,0
1601,24376 28 34,LADIES (STRAIT) PANT,475,0
1602,24377 28 32,LADIES (STRAIT) PANT,475,12
1603,24378 28 32,LADIES (STRAIT) PANT,475,31
1604,24379 28 34,LADIES (STRAIT) PANT,620,0
1605,24380 28 34,LADIES(BLACK)PANT,590,0
1606,24381 32 38,LADIES(WHITE)PANT,595,16
1607,24382 28 34,LADIES (STRAIT) PANT,625,0
1608,24383 28 34,LADIES (STRAIT) PANT,785,0
1609,24384 28 32,LADIES (STRAIT) PANT,475,0
1610,24385 28 32,LADIES (STRAIT) PANT,505,-5
1611,24386 28 34,LADIES (STRAIT) PANT,530,5
1612,24387 28 34,LADIES (STRAIT) PANT,465,0
1613,24388 28 34,LADIES (STRAIT) PANT,540,0
1614,24389 28 34,LADIES (STRAIT) PANT,530,0
1615,24390 28 34,LADIES(BLACK)PANT,425,0
1616,24391 28 32,LADIES (STRAIT) PANT,510,35
1617,24392 28 34,LADIES (STRAIT) PANT,395,0
1618,24393 28 34,LADIES (STRAIT) PANT,395,45
1619,24394 28 34,LADIES (STRAIT) PANT,360,0
1620,24395 28 34,LADIES (STRAIT) R.F.D,470,10
1621,24396 36 40,LADIES (STRAIT) R.F.D,505,0
1622,24397 28 34,LADIES (STRAIT) PANT,535,0
1623,24398 28 34,LADIES (STRAIT) PANT,725,0
1624,24399 28 34,LADIES (STRAIT) PANT,660,1
1625,24400 28 34,LADIES (STRAIT) PANT,645,0
1626,24401 28,LADIES (STRAIT) R.F.D,515,0
1627,24402 28,LADIES (STRAIT) PANT,470,0
1628,24403 28 30,LADIES (STRAIT) PANT,580,0
1629,24404 28 34,LADIES (STRAIT) PANT,475,20
1630,24405 28 34,LADIES (STRAIT) PANT,555,36
1631,24406 28 34,LADIES (STRAIT) PANT,470,49
1632,24407 28 34,LADIES (STRAIT) PANT,530,50
1633,24408 28 34,LADIES (STRAIT) PANT,660,0
1634,24409 28 34,LADIES (STRAIT) PANT,430,0
1635,24410 28 34,LADIES (STRAIT) PANT,475,0
1636,24411 28 34,LADIES (STRAIT) PANT,550,5
1637,24412 28 30,LADIES (CARGO) STRAIT,575,20
1638,24413 28 34,LADIES (STRAIT) PANT,435,0
1639,24414 28 34,LADIES (STRAIT) PANT,485,0
1640,24415 28 34,LADIES (STRAIT) PANT,485,0
1641,24416 28 34,LADIES (CARGO) STRAIT,540,11
1642,24417 28 34,LADIES (STRAIT) PANT,645,3
1643,24418 28 34,LADIES TROUSER PANT,330,84
1644,24419 28 32,LADIES (STRAIT) R.F.D,565,0
1645,24420 28 34,LADIES(BLACK)PANT,530,100
1646,24421 28,LADIES (STRAIT) PANT,495,0
1647,24422 28,LADIES (STRAIT) PANT,475,0
1648,24423 36 38,LADIES (STRAIT) PANT,485,0
1649,24424 28 34,LADIES (STRAIT) PANT,545,4
1650,24425 28 34,LADIES (CARGO) STRAIT,535,55
1651,24426 28 34,LADIES (STRAIT) PANT,660,1
1652,24427 28 32,LADIES (STRAIT) PANT,435,0
1653,24428 28 32,LADIES (STRAIT) PANT,475,0
1654,24429 28 34,LADIES (STRAIT) PANT,475,105
1655,24430 28 32,LADIES (STRAIT) PANT,510,9
1656,24431 28 32,LADIES (STRAIT) PANT,0,0
1657,24432 28 32,LADIES (STRAIT) PANT,415,5
1658,24433 28 34,LADIES(BLACK)PANT,495,0
1659,24434 28 34,LADIES (STRAIT) R.F.D,560,27
1660,24435 28 34,LADIES (STRAIT) PANT,425,0
1661,24436 28 34,LADIES (STRAIT) PANT,475,-1
1662,24437 28 34,LADIES (STRAIT) PANT,635,0
1663,24438 28 34,LADIES (STRAIT) PANT,615,0
1664,24439 28 34,LADIES (STRAIT) PANT,625,24
1665,24440 28 34,LADIES (STRAIT) PANT,490,52
1666,24441 28 30,LADIES (STRAIT) PANT,635,16
1667,24442 36 40,LADIES (STRAIT) PANT,665,0
1668,24443 36 40,LADIES (STRAIT) PANT,525,2
1669,24444 28 34,LADIES (STRAIT) PANT,475,4
1670,24445 28 34,LADIES (STRAIT) R.F.D,620,68
1671,24446 28 34,LADIES (BALL BOTTOM) PANT,605,20
1672,24447 40 46,LADIES(BLACK)PANT,655,28
1673,24448 28 32,LADIES (STRAIT) R.F.D,575,4
1674,24449 28 34,LADIES (BALL BOTTOM) PANT,585,32
1675,24450 36 38,LADIES (STRAIT) PANT,625,0
1676,24451 28 34,LADIES (BALL BOTTOM) PANT,435,0
1677,24452 36 38,LADIES (STRAIT) PANT,590,0
1678,24453 28 34,LADIES (STRAIT) PANT,625,1
1679,24454 28 34,LADIES (STRAIT) PANT,545,0
1680,24455 28 34,LADIES (STRAIT) PANT,585,55
1681,24456 30 36,LADIES WIDE LEG PANT,640,-4
1682,24457 28 34,LADIES (STRAIT) PANT,560,2
1683,24458 28 34,LADIES WIDE LEG PANT,445,0
1684,24459 28 34,LADIES WIDE LEG PANT,450,20
1685,24460 28 34,LADIES WIDE LEG PANT,670,1
1686,24461 28 34,LADIES (STRAIT) PANT,505,15
1687,24462 28 34,LADIES (STRAIT) PANT,590,5
1688,24463 28 32,LADIES (STRAIT) JAGGING,535,40
1689,24464 34 38,LADIES (STRAIT) JAGGING,575,28
1690,24465 28 34,LADIES(BLACK)PANT,540,0
1691,24466 28 34,LADIES WIDE LEG PANT,550,0
1692,24467 28 32,LADIES (STRAIT) R.F.D,515,47
1693,24468 28 32,LADIES (STRAIT) PANT,425,44
1694,24469 28 32,LADIES (STRAIT) PANT,555,20
1695,24470 28 32,LADIES(BLACK)PANT,470,0
1696,24471 36 40,LADIES WIDE LEG PANT,450,2
1697,24472 28 34,LADIES (STRAIT) PANT,450,0
1698,24473 28 34,LADIES WIDE LEG PANT,490,13
1699,24474 28 34,LADIES WIDE LEG PANT,535,0
1700,24475 36 40,LADIES (STRAIT) R.F.D,615,73
1701,24476 36 40,LADIES (STRAIT) PANT,615,0
1702,24477 36 40,LADIES (CARGO) STRAIT,635,12
1703,24478 28 34,LADIES (STRAIT) R.F.D,585,0
1704,24479 28 34,LADIES WIDE LEG PANT,550,43
1705,24480 28,LADIES (STRAIT) PANT,0,0
1706,24481 36 40,LADIES WIDE LEG PANT,585,48
1707,24482 28 34,LADIES (CARGO) STRAIT,505,24
1708,24483 28 32,LADIES (STRAIT) PANT,505,-2
1709,24484 28 34,LADIES (BALL BOTTOM) PANT,525,64
1710,24485 28 34,LADIES (STRAIT) PANT,520,50
1711,24486 28 34,LADIES (STRAIT) PANT,565,0
1712,24487 M 2XL,LADIES (STRAIT) PANT,545,24
1713,24488 28 34,LADIES WIDE LEG PANT,550,0
1714,24489 28 34,LADIES(BLACK)PANT,565,5
1715,24490 28 34,LADIES (STRAIT) PANT,640,0
1716,24491 28 34,LADIES WIDE LEG PANT,705,3
1717,24492 28 34,LADIES (BALL BOTTOM) PANT,670,28
1718,24493 28 34,LADIES (FORMAL) PANT,395,10
1719,24494 28 34,LADIES (FORMAL) PANT,405,45
1720,24495 28 32,LADIES (STRAIT) R.F.D,585,12
1721,24496 28 30,LADIES WIDE LEG PANT,575,8
1722,24497 28 32,LADIES WIDE LEG PANT,480,10
1723,24498 28 32,LADIES (STRAIT) PANT,0,0
1724,24499 36 40,LADIES(BLACK)PANT,570,25
1725,24500 34 38,LADIES (STRAIT) PANT,530,64
1726,24501 36 40,LADIES (STRAIT) PANT,665,0
1727,24502 34 38,LADIES (STRAIT) PANT,455,28
1728,24503 28 34,LADIES (STRAIT) PANT,435,1
1729,24504 28 32,LADIES(BLACK)PANT,530,0
1730,24505 28 34,LADIES (STRAIT) PANT,610,0
1731,24506 28 34,LADIES (STRAIT) PANT,550,0
1732,24507 36 38,LADIES (STRAIT) PANT,605,35
1733,24508 34 38,LADIES (FORMAL) PANT,415,24
1734,24509 28 34,LADIES (STRAIT) PANT,515,0
1735,24510 28 34,LADIES(BLACK)PANT,605,24
1736,24511 28 30,LADIES (STRAIT) PANT,580,24
1737,24511 28 34,LADIES(BLACK)PANT,580,20
1738,24512 28 30,LADIES(BLACK)PANT,485,0
1739,24513 28 34,LADIES (STRAIT) PANT,395,185
1740,24514 28 30,BLACK CARGO,510,20
1741,24515 28 34,LADIES (STRAIT) PANT,510,0
1742,24516 28 34,LADIES (STRAIT) PANT,565,9
1743,24517 36 40,LADIES (STRAIT) PANT,610,20
1744,24518 28 34,LADIES WIDE LEG PANT,485,0
1745,24519 36 40,LADIES (BALL BOTTOM) PANT,685,20
1746,24520 28 34,LADIES WIDE LEG PANT,485,1
1747,24521 28 34,LADIES WIDE LEG PANT,545,12
1748,24522 28 34,LADIES (STRAIT) PANT,455,0
1749,24523 28 30,LADIES (STRAIT) PANT,505,0
1750,24524 28 34,LADIES PANT,450,60
1751,24525 28 34,LADIES (STRAIT) PANT,665,40
1752,24526 28 34,LADIES WIDE LEG PANT,590,95
1753,24527 28 34,LADIES(BLACK)PANT,555,25
1754,24528 28 34,LADIES (STRAIT) PANT,360,225
1755,24529 34 38,LADIES (STRAIT) PANT,390,303
1756,24530 34 38,LADIES (STRAIT) PANT,0,0
1757,24531 28 34,LADIES(BLACK)PANT,560,24
1758,24532 28 34,LADIES (STRAIT) PANT,580,1
1759,24533 28 30,LADIES (STRAIT) PANT,475,28
1760,24534 28 32,LADIES WIDE LEG PANT,485,2
1761,24535 28 32,LADIES (STRAIT) R.F.D,565,30
1762,24536 28 30,LADIES (STRAIT) PANT,555,36
1763,24537 28 32,LADIES(BLACK)PANT,560,40
1764,24538 28 34,LADIES (STRAIT) PANT,685,3
1765,24539 28 34,LADIES (STRAIT) PANT,655,17
1766,24540 28 34,LADIES (STRAIT) PANT,0,0
1767,24541 28 32,LADIES (STRAIT) PANT,480,20
1768,24542 28 34,LADIES(BLACK)PANT,555,13
1769,24543 28 34,LADIES (STRAIT) PANT,590,8
1770,24544 28 34,LADIES (FORMAL) PANT,410,224
1771,24545 28 34,LADIES (FORMAL) PANT,405,125
1772,24546 28 34,LADIES (FORMAL) PANT,400,204
1773,24547 28 34,LADIES PANT,475,25
1774,24548 28 34,LADIES (STRAIT) PANT,560,9
1775,24549 28 34,LADIES (STRAIT) PANT,610,2
1776,24550 28 32,LADIES (STRAIT) PANT,575,24
1777,24551 28 30,LADIES (STRAIT) PANT,545,0
1778,24552 28 30,LADIES (STRAIT) PANT,455,8
1779,24553 28 30,LADIES (STRAIT) PANT,485,40
1780,24554 28 34,LADIES PANT,550,46
1781,24555 34 38,LADIES (IMPORTED) PANT,390,383
1782,24556 28 34,LADIES (STRAIT) PANT,510,0
1783,24557 28 34,LADIES (STRAIT) PANT,590,48
1784,24558 28 34,LADIES (STRAIT) PANT,0,0
1785,24559 28 34,LADIES WIDE LEG PANT,0,0
1786,24560 36 40,LADIES WIDE LEG PANT,575,110
1787,24561 28 34,LADIES (STRAIT) PANT,475,106
1788,24562 28 34,LADIES (STRAIT) PANT,475,12
1789,24563 34 38,LADIES (STRAIT) PANT,610,70
1790,24564 28 32,LADIES (STRAIT) PANT,550,80
1791,24565 28 32,LADIES (STRAIT) PANT,470,26
1792,24566 28 34,LADIES (STRAIT) PANT,605,18
1793,24567 36 42,LADIES (STRAIT) PANT,715,55
1794,24568 28 34,LADIES (STRAIT) PANT,615,41
1795,24569 28 34,LADIES (STRAIT) PANT,535,60
1796,24570 36 38,LADIES (STRAIT) PANT,665,44
1797,24571 28 34,LADIES (STRAIT) PANT,745,52
1798,24572 28 34,LADIES (STRAIT) PANT,595,55
1799,24573 28 34,LADIES (STRAIT) PANT,605,51
1800,24573 36 40,LADIES WIDE LEG PANT,605,51
1801,24574 28,LADIES (STRAIT) PANT,580,27
1802,24575 28 30,LADIES (STRAIT) PANT,495,32
1803,24576 28 34,LADIES (STRAIT) PANT,360,0
1804,24577 28 34,LADIES (STRAIT) PANT,520,89
1805,24578 28 34,LADIES (STRAIT) PANT,685,30
1806,24579 28 34,LADIES (STRAIT) PANT,495,85
1807,24580 36 38,LADIES (STRAIT) PANT,505,40
1808,24581 28 34,LADIES (STRAIT) PANT,465,90
1809,24582 28 34,LADIES (STRAIT) PANT,455,90
1810,24583 28 34,LADIES (STRAIT) PANT,490,63
1811,24584 28 34,LADIES (STRAIT) PANT,475,90
1812,24585 38 40,LADIES (STRAIT) PANT,635,36
1813,24586 28 32,LADIES (STRAIT) PANT,470,0
1814,24587 28,LADIES (STRAIT) PANT,485,-5
1815,24588 28 30,LADIES (STRAIT) PANT,470,0
1816,24589 28 34,LADIES (STRAIT) PANT,325,50
1817,24590 28 34,LADIES (CARGO) STRAIT,350,50
1818,24591 28 34,LADIES (STRAIT) PANT,485,100
1819,24592 28 34,LADIES(BLACK)PANT,470,50
1820,24593 28 34,LADIES(WHITE)PANT,540,20
1821,24594 34 38,LADIES WIDE LEG PANT,535,48
1822,246 (KP)  1 10     [611190],KURTA PAJAMA,599,0
1823,2497 6 16,BOYS CAPRI,410,1
1824,25 12 15,BOYS (R.F.D.) NICKER,145,12
1825,25 16 18,BOYS (R.F.D.) NICKER,155,3
1826,250 (KP)  1 10     [611190],KURTA PAJAMA,635,0
1827,25083 (601) 24 34,MIDI SET,1170,0
1828,25089 (601) 24 34,CORD SET,1205,0
1829,25092(601) 24 34,MIDI SET,1225,0
1830,25093 (601) 24 34,MIDI SET,1225,0
1831,2521 10 20,BOYS (R.F.D.) CAPRI,395,0
1832,2531 36 40,GIRLS SET (L),695,0
1833,2534 36 40,GIRLS SET (L),695,0
1834,2535 36 40,GIRLS SET (L),695,0
1835,2538 36 40,GIRLS SET (L),695,0
1836,254 30 36,GENTS PANT,695,1
1837,2564 6 16,BOYS CAPRI,195,-1
1838,2591 12 20,BOYS CAPRI,410,-10
1839,2593 6 16,BOYS (DNAM) CAPRI,325,0
1840,2596 10 20,BOYS CAPRI,310,6
1841,26012 (601) 24 34,GIRLS SET (K),999,0
1842,2626 10 20,BOYS CAPRI,535,6
1843,2642 10 20,BOYS (R.F.D.) CAPRI,550,6
1844,2676 6 16,BOYS CAPRI,460,12
1845,2677 6 16,BOYS CAPRI,460,12
1846,2679 12 20,BOYS (R.F.D.) CAPRI,475,0
1847,2680 12 20,BOYS (R.F.D.) CAPRI,475,0
1848,2691 12 16,BOYS (BLK) CAPRI,295,10
1849,2694 12 20,BOYS CAPRI,450,-1
1850,2695 12 20,BOYS CAPRI,450,0
1851,2696 2 10,BOYS NICKER,425,15
1852,2701 22 24,BOYS (R.F.D.) CAPRI,485,7
1853,2703 10 20,BOYS CAPRI,445,53
1854,2707 12 20,BOYS CAPRI,450,1
1855,2708 22 24,BOYS CAPRI,480,4
1856,2709 12 20,BOYS CAPRI,485,20
1857,2713 16 24,BOYS (R.F.D.) CAPRI,480,0
1858,2715 10 20,BOYS CAPRI,445,0
1859,272 30 36,GENTS PANT,645,4
1860,2721 2 10,BOYS (R.F.D.) NICKER,425,40
1861,2727 10 20,BOYS (BLK) CAPRI,495,12
1862,2731 6 16,BOYS CAPRI,255,12
1863,2737 6 16,BOYS (R.F.D.) CAPRI,410,30
1864,2738 12 20,BOYS (R.F.D.) CAPRI,425,34
1865,2742 10 20,BOYS (R.F.D.) CAPRI,395,1
1866,2754 6 16,BOYS (R.F.D.) CAPRI,460,36
1867,2756 6 16,BOYS (DNAM) CAPRI,421,18
1868,2763 16 20,BOYS CAPRI,445,15
1869,2763 6 16,BOYS (BLK) CAPRI,375,18
1870,2765 16 20,BOYS CAPRI,385,60
1871,2770 6 16,BOYS CAPRI,250,6
1872,2772 12 20,BOYS CAPRI,260,-1
1873,2773 6 16,BOYS CAPRI,335,30
1874,2794 10 20,BOYS (COTTON) CAPPRI,310,0
1875,2795 1 5,BOYS (COTTON) CAPPRI,265,10
1876,2796 1 5,BOYS (COTTON) CAPPRI,265,25
1877,2797 18 24,BOYS (COTTON) CAPPRI,330,0
1878,2800 22 30,GIRLS CAPRI,330,20
1879,2800 32 40,GIRLS CAPRI,355,30
1880,2801 18 24,BOYS (COTTON) CAPPRI,330,24
1881,2803 6 16,BOYS CAPRI,405,0
1882,2804 16 24,BOYS (R.F.D.) CAPRI,505,0
1883,2807 12 20,BOYS (R.F.D.) CAPRI,465,2
1884,28105 FREE,JACKETS,535,6
1885,28110 FREE,LOWER,250,5
1886,2819 6 16,BOYS (DNAM) CAPRI,385,24
1887,2820 6 16,BOYS (COTTON) CAPPRI,320,0
1888,2821 6 16,BOYS (BLK) CAPRI,385,36
1889,2822 6 16,BOYS (BLK) CAPRI,415,0
1890,2823 6 16,BOYS CAPRI,535,0
1891,2825 12 20,BOYS (R.F.D.) CAPRI,380,0
1892,2827 6 16,BOYS CAPRI,425,34
1893,2828 10 20,BOYS CAPRI,445,0
1894,2829 16 20,BOYS (DNAM) CAPRI,395,0
1895,2830 12 20,BOYS (DNAM) CAPRI,345,0
1896,2831 6 16,BOYS (DNAM) CAPRI,330,6
1897,2832 6 16,BOYS CAPRI,535,0
1898,2836 10 20,BOYS (R.F.D.) CAPRI,565,0
1899,2837 6 16,BOYS (DNAM) CAPRI,540,0
1900,2838 10 20,BOYS (BLK) CAPRI,515,0
1901,2839 12 20,BOYS CAPRI,480,0
1902,2840 12 20,BOYS CAPRI,480,0
1903,2841 6 16,BOYS CAPRI,460,0
1904,2842 6 16,BOYS CAPRI,375,30
1905,2843 12 20,BOYS CAPRI,425,0
1906,2844 10 20,BOYS (DNAM) CAPRI,395,18
1907,2845 10 20,BOYS CAPRI,310,6
1908,2846 6 16,BOYS (R.F.D.) CAPRI,310,0
1909,2847 18 24,BOYS (DNAM) CAPRI,365,16
1910,2848 18 24,BOYS (DNAM) CAPRI,425,8
1911,2849 6 16,BOYS CAPRI,330,0
1912,2850 12 20,BOYS CAPRI,370,0
1913,2851 20 24,BOYS CAPRI,520,12
1914,2852 12 20,BOYS (BLK) CAPRI,455,0
1915,2853 6 16,BOYS (BLK) CAPRI,435,0
1916,2854 12 20,BOYS (DNAM) CAPRI,425,0
1917,2855 20 24,BOYS (DNAM) CAPRI,450,-6
1918,2856 6 16,BOYS CAPRI,0,0
1919,2857 12 20,BOYS CAPRI,575,0
1920,2858 6 16,BOYS CAPRI,550,60
1921,2859 20 24,BOYS (BLK) CAPRI,510,0
1922,2860 6 16,BOYS CAPRI,480,24
1923,28601 M 2XL,CORD SET,630,0
1924,28602 M 2XL,CORD SET,630,8
1925,28603 M 2XL,CORD SET,630,0
1926,2861 12 20,BOYS CAPRI,505,15
1927,2862 12 20,BOYS CAPRI,505,30
1928,2864 12 20,BOYS (BLK) CAPRI,435,0
1929,2865 12 20,BOYS (DNAM) CAPRI,470,15
1930,2866 6 16,BOYS (DNAM) CAPRI,455,42
1931,2867 16 20,BOYS (R.F.D.) CAPRI,455,40
1932,2868 12 20,BOYS (DNAM) CAPRI,485,0
1933,2869 8 16,BOYS CAPRI,465,40
1934,2870 16 20,BOYS (DNAM) CAPRI,510,24
1935,2871 16 20,BOYS (DNAM) CAPRI,510,18
1936,2872 10 20,BOYS (DNAM) CAPRI,0,0
1937,2873 12 20,BOYS CAPRI,345,60
1938,2874 12 20,BOYS CAPRI,395,45
1939,3004 XL,GENTS NICKER,320,0
1940,3032 18,BOYS SHIRTS,445,1
1941,3058 18,BOYS SHIRTS,445,8
1942,3063 18,BOYS SHIRTS,470,4
1943,3100 22 30,GIRLS (HOT) NICKER,150,59
1944,3100 32 40,GIRLS (HOT) NICKER,150,45
1945,3101 22 30,GIRLS (HOT) NICKER,205,5
1946,31481 FREE,GENTS JACKETS,1090,1
1947,31901 MASTER,BOYS JACKET,635,1
1948,31960 L 2XL,BOYS JACKET,810,2
1949,31965 38 42,GENTS JACKETS,1030,4
1950,31969 L 2XL,BOYS JACKET,0,3
1951,32028 FREE,GENTS JACKETS,1110,1
1952,32031 XL XXL,GENTS JACKETS,1510,1
1953,32055 S.M.L.,BOYS JACKET,400,3
1954,32057 XL,GENTS JACKETS,620,3
1955,32062 M XL,GENTS JACKETS,895,1
1956,32066 FREE,GENTS JACKETS,535,6
1957,32069 L 2XL,GENTS JACKETS,895,1
1958,32070 FREE,GENTS JACKETS,535,2
1959,32083 L XL,GENTS JACKETS,905,1
1960,32086 L XL,GENTS JACKETS,780,1
1961,32089 FREE,GENTS JACKETS,1295,1
1962,32092 M 2XL,GENTS JACKETS,1195,1
1963,32711 28 34,LADIES (STRAIT) PANT,0,0
1964,33000 M XL,GENTS JACKETS,1300,1
1965,33044 FREE,GENTS JACKETS,535,2
1966,33045 FREE,GENTS JACKETS,560,3
1967,33050 FREE,GENTS JACKETS,535,1
1968,33053 L 2XL,GENTS JACKETS,1195,1
1969,33064 FREE,GENTS JACKETS,500,1
1970,33067 FREE,JACKETS,380,1
1971,33106 XL,JACKETS,475,1
1972,33120 M 2XL,JACKETS,705,5
1973,33139 FREE,JACKETS,475,1
1974,33140 FREE,JACKETS,530,-5
1975,33143 M XL,JACKETS,530,1
1976,33145 S XL,JACKETS,375,2
1977,33146 S XL,JACKETS,355,0
1978,33152 M 2XL,JACKETS,655,3
1979,33161 FREE,JACKETS,665,3
1980,33162 FREE,JACKETS,495,2
1981,33165 26 32,JACKETS,485,-2
1982,33191 XL,JACKETS,485,1
1983,33193 S XL,JACKETS,465,1
1984,33195 S.M.L.,JACKETS,475,1
1985,33196 M LXL,JACKETS,575,-3
1986,33198 M LXL,JACKETS,585,6
1987,33216 FREE,JACKETS,615,-12
1988,33222 L 2XL,JACKETS,670,7
1989,33226 XL,JACKETS,690,1
1990,33233 32 36,JACKETS,560,0
1991,33235 S 2XL,BLAZER,545,8
1992,33243,JACKETS,735,5
1993,33250 32 36,JACKETS,550,6
1994,33251 M LXL,JACKETS,630,6
1995,33255 M 2XL,BLAZER,535,23
1996,33258 36 40,JACKETS,425,-2
1997,33276,JACKET,570,0
1998,33285 26 34,JACKETS,555,-5
1999,33287 26 34,JACKET,405,-5
2000,33291 M 2XL,BLAZER,790,41
2001,33295 M LXL,JACKETS,665,-3
2002,33296 M LXL,JACKETS,680,3
2003,33297 M LXL,JACKETS,510,0
2004,33299 M LXL,JACKETS,475,10
2005,33305 M LXL,JACKETS,605,6
2006,33307 M,JACKETS,480,0
2007,33308 M LXL,JACKETS,505,21
2008,33309 M LXL,JACKETS,515,-2
2009,33310 M LXL,JACKETS,505,2
2010,33314 M LXL,JACKETS,750,0
2011,33315 M LXL,JACKETS,455,3
2012,33316 M LXL,JACKETS,455,0
2013,33317 XL,JACKETS,355,0
2014,33319 XL,JACKETS,545,0
2015,3332 (605)  28 38,FARSI,1395,0
2016,33320 XL,JACKETS,590,0
2017,33321 XL,JACKETS,590,0
2018,33322 XL,JACKETS,525,11
2019,33323 XL,JACKETS,545,2
2020,33324 XL,JACKETS,595,0
2021,33325 XL,JACKETS,560,0
2022,33327 L 2XL,JACKETS,580,3
2023,33328 M 2XL,BLAZER,665,8
2024,33329 26 36,JACKETS,595,0
2025,33330 26 36,JACKETS,565,0
2026,33331,JACKETS,570,15
2027,33332,JACKETS,520,0
2028,33333,JACKETS,560,0
2029,33334,JACKETS,560,0
2030,33335,JACKET,590,0
2031,33336 26 34,JACKET,435,20
2032,33337,JACKET,525,0
2033,33338,JACKET,525,0
2034,33339,JACKET,445,16
2035,3334 (605) 28 38,SHARARA,1395,6
2036,33340,JACKET,555,0
2037,33341,JACKET,610,1
2038,33342,JACKET,545,18
2039,33343 L,JACKET,475,0
2040,33344 L,JACKET,530,24
2041,33345 L,JACKET,510,0
2042,33346 M 2XL,BLAZER,695,8
2043,33347 L XL,MIDDY,690,4
2044,33348 L XL,MIDDY,690,6
2045,33349 26 36,JACKET,565,0
2046,33350 26 36,JACKET,565,6
2047,33351 26 36,JACKET,565,6
2048,33352 26 36,JACKET,565,20
2049,33353 M L XL,JACKET,585,24
2050,33354 M L XL,JACKET,585,27
2051,33355 M L XL,JACKET,540,3
2052,33356 M.L.XL,JACKET,525,0
2053,33357 M.L.XL,JACKET,525,0
2054,33358 M 2XL,JACKET,625,8
2055,33359 M 2XL,JACKET,655,4
2056,33360 XXL,JACKET,555,18
2057,3340 (605) 28 38,FARSI,1195,0
2058,3351(605)  30 40,PLAZO SET,1395,6
2059,3352(605) 28 38,GIRLS SET (L),1295,0
2060,33528 M 2XL,LOWER,445,-1
2061,33529 M 2XL,LOWER,445,-1
2062,33530 M 2XL,LOWER,445,-2
2063,33538 L 2XL,ZIPPER,575,1
2064,3354(605)  28 38,PLAZO SET,1395,-6
2065,33542 M 2XL,LOWER,385,3
2066,33543 M 2XL,LOWER,385,7
2067,33544 M 2XL,LOWER,385,2
2068,33552 M 2XL,LOWER,515,4
2069,33554 M 2XL,LOWER,410,4
2070,33556 M XL,LOWER,280,-2
2071,33557 M XL,LOWER,240,7
2072,33558 M XL,LOWER,240,16
2073,33561 L,LOWER,245,-1
2074,33562 M,LOWER,245,1
2075,33562 XL,LOWER,255,-1
2076,3368(605) 28 38,GIRLS SET (L),1395,0
2077,3370(605) 28 38,GIRLS SET (L),1295,6
2078,34003 L 2XL,BOYS JACKET,180,7
2079,34004 L 2XL,BOYS JACKET,170,3
2080,3420 28 38,GIRLS SET (K),715,0
2081,3522(605) 28 38,GIRLS SET (L),1255,0
2082,3529(605) 28 38,GIRLS SET (L),1360,0
2083,3535 (605) 28 38,GIRLS SET (L),1195,6
2084,3543(605) 28 38,GIRLS SET (L),1195,0
2085,3545 (605) 28 38,GIRLS SET (L),1295,0
2086,3547(605) 26 36,SHARARA,1255,6
2087,3552(605) 28 38,GIRLS SET (L),1295,0
2088,3553(605) 28 38,GIRLS SET (L),1395,0
2089,3554(605) 28 38,GIRLS SET (L),1295,36
2090,3565(605) 28 38,PLAZO SET,1295,0
2091,3567(605) 28 38,GIRLS SET (L),1395,0
2092,3568(605) 28 38,PLAZO SET,1295,6
2093,36(MB) 12 14,FROCK (A),475,0
2094,3648 24 34,GIRLS SET (K),690,0
2095,3663 32 40,GIRLS CAPRI,310,1
2096,369 22 30,BOYS PANT,355,0
2097,3701(605) 28 38,GIRLS SET (L),1295,0
2098,3702(605) 28 38,GIRLS SET (L),1395,6
2099,3707(605) 28 38,GIRLS SET (L),1295,18
2100,378(598) 2 10,INDO WESTERN,755,0
2101,383 24 34,GIRLS SET (L),915,0
2102,3837 32 40,GIRLS CAPRI,255,1
2103,389(598) 2 10,KURTA PAJAMA,715,0
2104,390(598) 1 10,INDO WESTERN,735,30
2105,391(598) 2 10,KURTA PAJAMA,599,27
2106,3941 26 32,GIRLS CAPRI,455,2
